Numero_pendiente,IdUsuario,fecha_parto,nota
6874,1,2022-03-27,Parto sin complicaciones. La madre y el ternero están en buen estado.
3732,1,2021-01-22,Parto prematuro. El ternero requiere cuidados intensivos.
8891,1,2024-06-22,Parto natural bajo observación. Sin incidencias.
8891,1,2024-04-27,Parto natural. Se recomienda supervisión continua del ternero.
4468,1,2022-08-31,Parto natural bajo observación. Sin incidencias.
3599,1,2021-01-03,Parto con complicaciones menores. Ambos se recuperan satisfactoriamente.
8891,1,2022-07-06,Parto asistido. Se observará la recuperación de la madre durante los próximos días.
6874,1,2020-07-20,Parto natural. Se recomienda supervisión continua del ternero.
5859,1,2021-01-18,Parto gemelar exitoso. Se monitoreará el desarrollo de ambos terneros.
5373,1,2024-03-16,Parto gemelar exitoso. Se monitoreará el desarrollo de ambos terneros.
4468,1,2021-01-05,Parto gemelar exitoso. Se monitoreará el desarrollo de ambos terneros.
7744,1,2021-07-09,Parto natural bajo observación. Sin incidencias.
1705,1,2022-08-12,Parto natural bajo observación. Sin incidencias.
1705,1,2023-11-08,Parto con complicaciones menores. Ambos se recuperan satisfactoriamente.
4264,1,2020-01-24,Parto rápido y sin asistencia. Ternero vigoroso y saludable.
7744,1,2024-09-19,Parto prematuro. El ternero requiere cuidados intensivos.
4468,1,2020-05-10,Parto con complicaciones menores. Ambos se recuperan satisfactoriamente.
4468,1,2021-01-12,Parto rápido y sin asistencia. Ternero vigoroso y saludable.
1705,1,2020-04-08,Parto rápido y sin asistencia. Ternero vigoroso y saludable.
4264,1,2024-05-17,Se necesitó intervención veterinaria para completar el parto. Recuperación en curso.
6874,1,2022-07-20,Parto asistido. Se observará la recuperación de la madre durante los próximos días.
3599,1,2022-01-04,
1705,1,2020-05-03,Se necesitó intervención veterinaria para completar el parto. Recuperación en curso.
3599,1,2021-08-17,
5373,1,2022-01-09,Parto asistido. Se observará la recuperación de la madre durante los próximos días.
8891,1,2023-03-18,Parto rápido y sin asistencia. Ternero vigoroso y saludable.
3732,1,2020-07-28,Parto asistido. Se observará la recuperación de la madre durante los próximos días.
8891,1,2021-07-16,Parto natural bajo observación. Sin incidencias.
6874,1,2023-12-06,Parto asistido. Se observará la recuperación de la madre durante los próximos días.
3732,1,2022-02-21,Parto rápido y sin asistencia. Ternero vigoroso y saludable.
5859,1,2022-12-01,Parto rápido y sin asistencia. Ternero vigoroso y saludable.
8891,1,2022-12-18,Parto gemelar exitoso. Se monitoreará el desarrollo de ambos terneros.
1705,1,2021-12-06,Parto con complicaciones menores. Ambos se recuperan satisfactoriamente.
4264,1,2022-11-26,Parto sin complicaciones. La madre y el ternero están en buen estado.
8891,1,2022-02-17,Parto natural bajo observación. Sin incidencias.
8891,1,2020-03-27,Parto con complicaciones menores. Ambos se recuperan satisfactoriamente.
8891,1,2022-12-03,Se necesitó intervención veterinaria para completar el parto. Recuperación en curso.
4468,1,2022-05-22,Parto rápido y sin asistencia. Ternero vigoroso y saludable.
3732,1,2020-01-12,
4264,1,2022-02-09,Parto rápido y sin asistencia. Ternero vigoroso y saludable.
3599,1,2020-11-03,Parto sin complicaciones. La madre y el ternero están en buen estado.
3599,1,2023-01-09,Parto prematuro. El ternero requiere cuidados intensivos.
3732,1,2020-02-02,Se necesitó intervención veterinaria para completar el parto. Recuperación en curso.
5373,1,2023-04-21,Parto asistido. Se observará la recuperación de la madre durante los próximos días.
4468,1,2023-02-26,Parto gemelar exitoso. Se monitoreará el desarrollo de ambos terneros.
8891,1,2022-03-17,Parto sin complicaciones. La madre y el ternero están en buen estado.
5859,1,2020-10-02,Parto asistido. Se observará la recuperación de la madre durante los próximos días.
4468,1,2023-04-13,Parto sin complicaciones. La madre y el ternero están en buen estado.
5859,1,2024-04-27,Se necesitó intervención veterinaria para completar el parto. Recuperación en curso.
3732,1,2023-10-27,Parto natural. Se recomienda supervisión continua del ternero.
3732,1,2023-04-23,Parto prematuro. El ternero requiere cuidados intensivos.
5373,1,2021-03-20,
6874,1,2021-05-03,Se necesitó intervención veterinaria para completar el parto. Recuperación en curso.
6874,1,2024-06-01,Parto sin complicaciones. La madre y el ternero están en buen estado.
7744,1,2020-10-13,Parto asistido. Se observará la recuperación de la madre durante los próximos días.
1705,1,2023-07-28,Parto natural bajo observación. Sin incidencias.
5373,1,2021-09-29,Parto gemelar exitoso. Se monitoreará el desarrollo de ambos terneros.
4264,1,2022-02-09,Parto natural. Se recomienda supervisión continua del ternero.
5373,1,2024-03-19,
3599,1,2020-04-04,Parto natural bajo observación. Sin incidencias.
1705,1,2023-06-04,Parto gemelar exitoso. Se monitoreará el desarrollo de ambos terneros.
